ID pdf_name keyword page_num line_num line_text token_text
1 "Genetic variants shape rheumatoid arthritis- specific transcriptomic features in CD4+  T cells through differential DNA methylation,  explaining a substantial proportion of heritability.pdf" "proteom|transcriptom|RNA|miRNA|lipidomic|metabolomic|16|microbiome|metagenomic|genomic|DNA seq|genetic" 1 4  
1 "Genetic variants shape rheumatoid arthritis- specific transcriptomic features in CD4+  T cells through differential DNA methylation,  explaining a substantial proportion of heritability.pdf" "proteom|transcriptom|RNA|miRNA|lipidomic|metabolomic|16|microbiome|metagenomic|genomic|DNA seq|genetic" 1 7  
1 "Genetic variants shape rheumatoid arthritis- specific transcriptomic features in CD4+  T cells through differential DNA methylation,  explaining a substantial proportion of heritability.pdf" "proteom|transcriptom|RNA|miRNA|lipidomic|metabolomic|16|microbiome|metagenomic|genomic|DNA seq|genetic" 1 9  
1 "Genetic variants shape rheumatoid arthritis- specific transcriptomic features in CD4+  T cells through differential DNA methylation,  explaining a substantial proportion of heritability.pdf" "proteom|transcriptom|RNA|miRNA|lipidomic|metabolomic|16|microbiome|metagenomic|genomic|DNA seq|genetic" 1 13  
1 "Genetic variants shape rheumatoid arthritis- specific transcriptomic features in CD4+  T cells through differential DNA methylation,  explaining a substantial proportion of heritability.pdf" "proteom|transcriptom|RNA|miRNA|lipidomic|metabolomic|16|microbiome|metagenomic|genomic|DNA seq|genetic" 1 20  
1 "Genetic variants shape rheumatoid arthritis- specific transcriptomic features in CD4+  T cells through differential DNA methylation,  explaining a substantial proportion of heritability.pdf" "proteom|transcriptom|RNA|miRNA|lipidomic|metabolomic|16|microbiome|metagenomic|genomic|DNA seq|genetic" 1 22  
1 "Genetic variants shape rheumatoid arthritis- specific transcriptomic features in CD4+  T cells through differential DNA methylation,  explaining a substantial proportion of heritability.pdf" "proteom|transcriptom|RNA|miRNA|lipidomic|metabolomic|16|microbiome|metagenomic|genomic|DNA seq|genetic" 1 31  
1 "Genetic variants shape rheumatoid arthritis- specific transcriptomic features in CD4+  T cells through differential DNA methylation,  explaining a substantial proportion of heritability.pdf" "proteom|transcriptom|RNA|miRNA|lipidomic|metabolomic|16|microbiome|metagenomic|genomic|DNA seq|genetic" 1 34  
1 "Genetic variants shape rheumatoid arthritis- specific transcriptomic features in CD4+  T cells through differential DNA methylation,  explaining a substantial proportion of heritability.pdf" "proteom|transcriptom|RNA|miRNA|lipidomic|metabolomic|16|microbiome|metagenomic|genomic|DNA seq|genetic" 1 35  
1 "Genetic variants shape rheumatoid arthritis- specific transcriptomic features in CD4+  T cells through differential DNA methylation,  explaining a substantial proportion of heritability.pdf" "proteom|transcriptom|RNA|miRNA|lipidomic|metabolomic|16|microbiome|metagenomic|genomic|DNA seq|genetic" 1 36  
